nzffdRecordNumber,eventDate,eventTime,institution,waterBody,waterBodyType,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,minimumElevation,distanceOcean,samplingMethod,samplingProtocol,taxonName,taxonCommonName,totalCount,notCountedButPresent,notDetectedButSoughtAtSite,minLength,maxLength,dataVersion
298,2/05/2000,,Auckland Regional Council,Unnamed stream Long Bay,Not Entered,,75,Long B,1754128,5938094,30,2.9,Traps - Gee minnow,Unknown,Paranephrops,Koura,4,FALSE,FALSE,20,60,V1
301,16/01/1964,,Unknown Institution,Silver Stream,Not Entered,,743.09,Taieri R,1392009,4916530,10,34.9,Other - Not listed,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
302,7/03/1966,day,NIWA,Stony Creek water race,Not Entered,,688.03,Ashburton R,1466628,5162484,440,68,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
303,4/12/1964,day,NIWA,Stony Creek,Not Entered,,688.03,Ashburton R,1466628,5162384,440,68,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
352,12/01/1964,,Unknown Institution,Kaiwharawhara Stream,Not Entered,,297.25,Wellington Hbr,1747179,5430188,60,3.9,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
354,4/08/1963,day,Unknown Institution,Kaiwharawhara Stream,Not Entered,,297.25,Wellington Hbr,1746778,5427688,130,6.8,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
356,23/01/1966,day,NIWA,Kauaeranga River tributary,Not Entered,,93,Kauaeranga R,1834632,5891454,80,17.7,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
359,27/01/1966,day,NIWA,Puketotara Stream,Not Entered,,35.01,Kerikeri R,1683461,6100575,80,7.2,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
364,28/06/1963,day,NIWA,Kourarau Dam,Not Entered,,292.301,Ruamahanga R,1826884,5447276,300,102.4,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
368,25/02/1965,,Unknown Institution,Makakahi River,Not Entered,,325.201,Manawatu R,1829891,5498487,190,169.7,Other - Not listed,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
369,5/02/1962,,Unknown Institution,Maketu Stream,Not Entered,,331.25,Whangaehu R,1809858,5617219,520,134.9,Other - Not listed,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
372,1/02/1966,day,NIWA,Makarau River tributary,Not Entered,,455,Makarau R,1735400,5953152,10,7.8,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
374,17/01/1966,day,NIWA,Manawatu River tributary,Not Entered,,325,Manawatu R,1839294,5531698,60,105.2,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
375,29/01/1966,day,NIWA,Mangamuka River,Not Entered,,480,Mangamuka R,1643164,6106764,190,19.3,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
377,18/01/1966,day,NIWA,Kings Stream,Not Entered,,230.03,Tutaekuri R,1917607,5649296,440,71.7,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
378,12/05/1962,,Unknown Institution,Mangaone Stream,Not Entered,,317,Mangaone S,1782983,5476885,120,11.4,Other - Not listed,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
385,17/06/1965,day,NIWA,Kaipaitangata Stream,Not Entered,,292.243,Ruamahanga R,1808483,5455880,75,85.4,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
386,20/01/1966,day,NIWA,Lake Ngahewa,Not Entered,,434.53,Waikato R,1894992,5753769,405,318,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
389,,,Otago University,Leith Stream,Not Entered,,735,Leith S,1407306,4918853,20,2.3,Other - Not listed,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
393,14/08/1965,day,NIWA,Makahika Stream tributary,Not Entered,,321,Ohau R,1800485,5497687,140,28.4,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
399,4/02/1966,day,NIWA,Omanawa Stream tributary,Not Entered,,419.011,Oparau R,1780889,5789937,380,18,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
403,27/01/1966,day,NIWA,Waikainga Stream,Not Entered,,19.05,Taipa R,1649542,6113578,80,20.6,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
406,7/02/1965,,Unknown Institution,Waiotauru River tributary,Not Entered,,318,Otaki R,1787783,5472884,100,23.4,Other - Not listed,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
412,24/01/1966,day,NIWA,Whangamaire Stream tributary,Not Entered,,438.01,Pahurehure In,1763333,5884816,30,7.9,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
413,2/07/1963,day,NIWA,Tikotu Creek,Not Entered,,313,Tikotu C,1766982,5471385,5,0.2,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
416,6/10/1962,day,NIWA,Pohomihi Stream,Not Entered,,92.281,Waihou R,1844534,5838550,60,80.5,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
421,24/01/1966,day,NIWA,Taihiki River tributary,Not Entered,,437,Taihiki R,1758238,5882206,50,2.7,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
423,20/01/1966,day,NIWA,Lake Tarawera,Not Entered,,153.13,Tarawera R,1895478,5765680,299,70.1,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
424,26/02/1965,,Unknown Institution,Tauanui River,Not Entered,,292.05,Ruamahanga R,1784675,5420783,20,15.8,Other - Not listed,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
425,19/01/1966,day,NIWA,Lake Taupo,Not Entered,,434.61,Waikato R,1864516,5711605,357,339.6,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
444,7/07/1993,14:30,Department of Conservation Northland,Unnamed stream Mangawhai Harbour,Not Entered,,62,Mangawhai Hbr,1741600,5997056,10,2.5,Electric fishing - Combination of traps and electric fishing,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
554,3/05/2000,,Auckland Regional Council,Nukumea Stream tributary,Not Entered,,71.5,Nukumea S,1749200,5951582,20,2.5,Traps - Gee minnow,Unknown,Paranephrops,Koura,2,FALSE,FALSE,65,,V1
556,3/05/2000,,Auckland Regional Council,Nukumea Stream tributary,Not Entered,,71.5,Nukumea S,1749301,5951482,20,2.3,Traps - Gee minnow,Unknown,Paranephrops,Koura,1,FALSE,FALSE,60,,V1
558,3/05/2000,,Auckland Regional Council,Nukumea Stream tributary,Not Entered,,71.5,Nukumea S,1749401,5951382,20,2.2,Traps - Gee minnow,Unknown,Paranephrops,Koura,4,FALSE,FALSE,40,75,V1
559,3/05/2000,,Auckland Regional Council,Nukumea Stream tributary,Not Entered,,71.5,Nukumea S,1749401,5951382,20,2.2,Fyke net - Fyke net including minifykes,Unknown,Paranephrops,Koura,1,FALSE,FALSE,80,,V1
589,1973-10,,NIWA,Matai Stream,Not Entered,,759.011,Tahakopa R,1332228,4844900,230,11.7,Other net - Hand net,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
635,29/06/1994,,Department of Conservation Wanganui,Mangaone West Stream,Not Entered,,325.083,Manawatu R,1816185,5542198,50,84.2,Traps - Bait trap (Killwell),Unknown,Paranephrops,Koura,4,FALSE,FALSE,,,V1
643,22/11/1995,,Department of Conservation Wanganui,Mangaone West Stream,Not Entered,,325.083,Manawatu R,1814884,5544299,65,87.9,Other net - combination of nets and traps,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
646,5/12/1995,10:00,Department of Conservation Wanganui,Mangaone West Stream,Not Entered,,325.083,Manawatu R,1814884,5544299,65,87.9,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
